,Date,High,Low,Open,Close
180,2020-06-30 00:00:00+00:00,1.12619,1.11912,1.124685,1.12337
181,2020-07-01 00:00:00+00:00,1.127515,1.1185,1.123365,1.12513
182,2020-07-02 00:00:00+00:00,1.13027,1.12235,1.12512,1.12375
183,2020-07-03 00:00:00+00:00,1.12531,1.12195,1.12376,1.124755
185,2020-07-05 00:00:00+00:00,1.12496,1.12435,1.12451,1.12468
186,2020-07-06 00:00:00+00:00,1.13454,1.124685,1.12469,1.13126
187,2020-07-07 00:00:00+00:00,1.13325,1.1259,1.131255,1.127455
188,2020-07-08 00:00:00+00:00,1.13517,1.12624,1.12746,1.13374
189,2020-07-09 00:00:00+00:00,1.13707,1.12803,1.13375,1.1288
190,2020-07-10 00:00:00+00:00,1.132475,1.1255,1.12881,1.13003
192,2020-07-12 00:00:00+00:00,1.13173,1.13041,1.130505,1.13087
193,2020-07-13 00:00:00+00:00,1.13749,1.1301,1.13088,1.134495
194,2020-07-14 00:00:00+00:00,1.14123,1.13253,1.1345,1.14103
195,2020-07-15 00:00:00+00:00,1.145195,1.13912,1.14102,1.141705
196,2020-07-16 00:00:00+00:00,1.144175,1.13706,1.14169,1.1388
197,2020-07-17 00:00:00+00:00,1.14437,1.13777,1.138795,1.14277
199,2020-07-19 00:00:00+00:00,1.14457,1.14182,1.14196,1.14423
200,2020-07-20 00:00:00+00:00,1.14678,1.14027,1.14422,1.14559
201,2020-07-21 00:00:00+00:00,1.15422,1.142305,1.1456,1.15353
202,2020-07-22 00:00:00+00:00,1.160125,1.15069,1.15352,1.15648
203,2020-07-23 00:00:00+00:00,1.16267,1.154055,1.15647,1.15953
204,2020-07-24 00:00:00+00:00,1.1658,1.158135,1.15954,1.165585
206,2020-07-26 00:00:00+00:00,1.16555,1.16423,1.164525,1.16499
207,2020-07-27 00:00:00+00:00,1.178135,1.16497,1.16498,1.17682
208,2020-07-28 00:00:00+00:00,1.177365,1.16988,1.17681,1.171865
209,2020-07-29 00:00:00+00:00,1.180635,1.17142,1.17187,1.17809
210,2020-07-30 00:00:00+00:00,1.18764,1.17309,1.17808,1.187205
211,2020-07-31 00:00:00+00:00,1.190885,1.17618,1.187215,1.17796
213,2020-08-02 00:00:00+00:00,1.179675,1.1773,1.17751,1.17813
214,2020-08-03 00:00:00+00:00,1.178885,1.1696,1.17814,1.17603
215,2020-08-04 00:00:00+00:00,1.18149,1.172145,1.17602,1.18137
216,2020-08-05 00:00:00+00:00,1.19049,1.17995,1.181375,1.18723
217,2020-08-06 00:00:00+00:00,1.19161,1.18181,1.18722,1.18754
218,2020-08-07 00:00:00+00:00,1.18819,1.17555,1.187545,1.17874
